date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2018/12/28,sh.600000,8.940213,9.15176125,8.93101525,9.013795,8.8850265,27404028,269118592,2,0.09751,1,1.449279,5.176082,0.676112,1.689507,2.768398,0
2019/1/2,sh.600000,8.9586085,9.00459725,8.8114445,8.9218175,9.013795,23762822,229625669,2,0.084554,1,-1.020412,5.123265,0.669213,1.672267,2.740149,0
2019/1/3,sh.600000,8.9218175,9.0321905,8.8850265,9.02299275,8.9218175,18654262,181975985,2,0.066376,1,1.134027,5.181363,0.676802,1.691231,2.771223,0
2019/1/4,sh.600000,8.94941075,9.19775,8.9218175,9.160959,9.02299275,27172844,268964563,2,0.096688,1,1.529048,5.228507,0.68715,1.704228,2.813596,0
2019/1/7,sh.600000,9.28052975,9.28052975,9.124168,9.1793545,9.160959,23597376,235440197,2,0.083965,1,0.200798,5.239006,0.68853,1.70765,2.819246,0
2019/1/8,sh.600000,9.22534325,9.22534325,9.11497025,9.160959,9.1793545,15104933,150501650,2,0.053747,1,-0.200396,5.228507,0.68715,1.704228,2.813596,0
2019/1/9,sh.600000,9.2529365,9.344914,9.1793545,9.18855225,9.160959,23163720,233890281,2,0.082422,1,0.301202,5.244255,0.68922,1.709361,2.822071,0
2019/1/10,sh.600000,9.1425635,9.2161455,9.124168,9.160959,9.18855225,15923566,158718755,2,0.05666,1,-0.300298,5.228507,0.68715,1.704228,2.813596,0
2019/1/11,sh.600000,9.22534325,9.33571625,9.160959,9.24373875,9.160959,19069069,191290102,2,0.067852,1,0.903616,5.275752,0.693359,1.719628,2.83902,0
2019/1/14,sh.600000,9.22534325,9.2897275,9.20694775,9.2529365,9.24373875,20352840,204659052,2,0.07242,1,0.099505,5.281002,0.694049,1.721339,2.841845,0
2019/1/15,sh.600000,9.2897275,9.33571625,9.24373875,9.29892525,9.2529365,15632125,158126136,2,0.055623,1,0.49701,5.307249,0.697499,1.729894,2.85597,0
2019/1/16,sh.600000,9.2897275,9.33571625,9.26213425,9.31732075,9.29892525,12988340,131354721,2,0.046216,1,0.197828,5.317748,0.698879,1.733316,2.86162,0
2019/1/17,sh.600000,9.35411175,9.455287,9.26213425,9.35411175,9.31732075,22766048,232114667,2,0.081007,1,0.394866,5.338746,0.701638,1.740161,2.872919,0
2019/1/18,sh.600000,9.46448475,9.602451,9.4001005,9.59325325,9.35411175,29087141,300979124,2,0.103499,1,2.556541,5.475233,0.719576,1.784649,2.946366,0
2019/1/21,sh.600000,9.528869,9.6208465,9.4736825,9.51967125,9.59325325,18947789,196394076,2,0.067421,1,-0.767018,5.433237,0.714057,1.77096,2.923767,0
2019/1/22,sh.600000,9.5472645,9.5472645,9.40929825,9.42769375,9.51967125,16250557,167165417,2,0.057823,1,-0.966187,5.380742,0.707158,1.753849,2.895518,0
2019/1/23,sh.600000,9.46448475,9.5104735,9.42769375,9.44608925,9.42769375,16520327,170289907,2,0.058783,1,0.195126,5.391241,0.708538,1.757271,2.901168,0
2019/1/24,sh.600000,9.5104735,9.55646225,9.44608925,9.5472645,9.44608925,15006699,155265972,2,0.053397,1,1.071077,5.448986,0.716127,1.776093,2.932242,0
2019/1/25,sh.600000,9.61164875,9.712824,9.5472645,9.6576375,9.5472645,19696587,206935398,2,0.070085,1,1.156068,5.51198,0.724405,1.796626,2.966141,0
2019/1/28,sh.600000,9.68523075,9.8048015,9.55646225,9.5840555,9.6576375,21769073,229185387,2,0.07746,1,-0.761904,5.469984,0.718886,1.782938,2.943541,0
2019/1/29,sh.600000,9.55646225,9.77720825,9.5472645,9.7312195,9.5840555,23768004,250301612,2,0.084572,1,1.535507,5.553976,0.729925,1.810315,2.98874,0
2019/1/30,sh.600000,9.74041725,9.786406,9.63004425,9.6576375,9.7312195,16054256,169387635,2,0.057125,1,-0.756143,5.51198,0.724405,1.796626,2.966141,0
2019/1/31,sh.600000,9.74041725,9.86918575,9.66683525,9.86918575,9.6576375,25131034,267614893,2,0.089422,1,2.190472,5.632719,0.740273,1.835981,3.031113,0
2019/2/1,sh.600000,9.9519655,9.9519655,9.7680105,9.90597675,9.86918575,19119343,204604273,2,0.068031,1,0.372795,5.653717,0.743033,1.842825,3.042413,0
2019/2/11,sh.600000,9.7680105,9.86918575,9.7680105,9.8415925,9.90597675,20216568,215903077,2,0.071935,1,-0.64996,5.61697,0.738204,1.830848,3.022639,0
2019/2/12,sh.600000,9.85079025,9.86918575,9.77720825,9.859988,9.8415925,16769601,179099038,2,0.05967,1,0.18692,5.627469,0.739583,1.83427,3.028288,0
2019/2/13,sh.600000,9.8783835,10.05314075,9.823197,9.9887565,9.859988,30248695,325845959,2,0.107632,1,1.305964,5.700962,0.749242,1.858225,3.067837,0
2019/2/14,sh.600000,9.97955875,10.03474525,9.93357,9.9519655,9.9887565,19815286,215023175,2,0.070508,1,-0.368324,5.679964,0.746483,1.85138,3.056537,0
2019/2/15,sh.600000,9.9151745,9.97955875,9.8048015,9.8048015,9.9519655,17758789,190960435,2,0.06319,1,-1.478742,5.595972,0.735444,1.824003,3.011339,0
2019/2/18,sh.600000,9.88758125,9.99795425,9.8415925,9.970361,9.8048015,20102219,217621153,2,0.071529,1,1.688558,5.690463,0.747862,1.854803,3.062187,0
2019/2/19,sh.600000,9.97955875,10.080734,9.9151745,9.93357,9.970361,25952745,281465131,2,0.092346,1,-0.369003,5.669465,0.745103,1.847958,3.050888,0
2019/2/20,sh.600000,10.043943,10.043943,9.94276775,9.96116325,9.93357,22286311,242111573,2,0.0793,1,0.277775,5.685214,0.747172,1.853092,3.059362,0
2019/2/21,sh.600000,9.96116325,10.05314075,9.88758125,9.92437225,9.96116325,25402390,275374197,2,0.090388,1,-0.369344,5.664216,0.744413,1.846247,3.048063,0
2019/2/22,sh.600000,9.896779,10.12672275,9.896779,10.12672275,9.92437225,25907438,281913760,2,0.092185,1,2.038927,5.779705,0.759591,1.883891,3.11021,0
2019/2/25,sh.600000,10.14511825,10.99131125,10.14511825,10.963718,10.12672275,93712264,1075040678,2,0.333451,1,8.265212,6.25741,0.822373,2.039598,3.367276,0
2019/2/26,sh.600000,10.95452025,11.17526625,10.66939,10.71537875,10.963718,83643265,990289721,2,0.297623,1,-2.265105,6.115673,0.803745,1.993399,3.291004,0
2019/2/27,sh.600000,10.77056525,11.10168425,10.73377425,10.88093825,10.71537875,71201603,843023417,2,0.253353,1,1.545067,6.210164,0.816163,2.024199,3.341852,0
2019/2/28,sh.600000,10.88093825,10.963718,10.742972,10.7981585,10.88093825,39393414,464139463,2,0.140171,1,-0.760779,6.162918,0.809954,2.008799,3.316428,0
2019/3/1,sh.600000,10.86254275,11.0924865,10.66939,11.0556955,10.7981585,63254621,747753342,2,0.225075,1,2.385015,6.309905,0.829272,2.056709,3.395525,0
2019/3/4,sh.600000,11.147673,11.3868145,10.99131125,11.0556955,11.0556955,85024777,1030561509,2,0.302539,1,0,6.309905,0.829272,2.056709,3.395525,0
2019/3/5,sh.600000,11.04649775,11.074091,10.91772925,11.0189045,11.0556955,54564202,652552200,2,0.194153,1,-0.332786,6.288907,0.826512,2.049865,3.384225,0
2019/3/6,sh.600000,11.02810225,11.17526625,10.9085315,11.0556955,11.0189045,53693164,644243050,2,0.191053,1,0.333898,6.309905,0.829272,2.056709,3.395525,0
2019/3/7,sh.600000,11.06489325,11.074091,10.91772925,10.926927,11.0556955,52618824,628390863,2,0.187231,1,-1.164728,6.236412,0.819613,2.032754,3.355976,0
2019/3/8,sh.600000,10.779763,10.779763,10.448644,10.5774125,10.926927,52670531,609490591,2,0.187415,1,-3.198654,6.03693,0.793396,1.967733,3.24863,0
2019/3/11,sh.600000,10.522226,10.66019225,10.448644,10.54981925,10.5774125,39922020,457056506,2,0.142052,1,-0.260867,6.021182,0.791327,1.9626,3.240156,0
2019/3/12,sh.600000,10.66019225,10.75216975,10.485435,10.522226,10.54981925,52211807,602940683,2,0.185782,1,-0.261558,6.005433,0.789257,1.957467,3.231681,0
2019/3/13,sh.600000,10.49463275,10.632599,10.3934575,10.522226,10.522226,41373014,472974759,2,0.147215,1,0,6.005433,0.789257,1.957467,3.231681,0
2019/3/14,sh.600000,10.5406215,10.6509945,10.51302825,10.5406215,10.522226,34337899,395468492,2,0.122183,1,0.174829,6.015932,0.790637,1.960889,3.237331,0
2019/3/15,sh.600000,10.54981925,10.66939,10.51302825,10.51302825,10.5406215,33769320,388244487,2,0.120159,1,-0.261778,6.000184,0.788567,1.955756,3.228856,0
2019/3/18,sh.600000,10.53142375,10.66939,10.45784175,10.66019225,10.51302825,43879562,503915219,2,0.156134,1,1.399824,6.084176,0.799606,1.983133,3.274054,0
2019/3/19,sh.600000,10.69698325,10.73377425,10.58661025,10.62340125,10.66019225,27500231,318521475,2,0.097852,1,-0.345125,6.063178,0.796846,1.976289,3.262755,0
2019/3/20,sh.600000,10.595808,10.706181,10.56821475,10.62340125,10.62340125,27325424,315587208,2,0.09723,1,0,6.063178,0.796846,1.976289,3.262755,0
2019/3/21,sh.600000,10.632599,10.66019225,10.522226,10.5406215,10.62340125,35037035,403573243,2,0.12467,1,-0.779222,6.015932,0.790637,1.960889,3.237331,0
2019/3/22,sh.600000,10.56821475,10.58661025,10.40265525,10.47623725,10.5406215,35436446,403972783,2,0.126091,1,-0.610818,5.979186,0.785807,1.948912,3.217556,0
2019/3/25,sh.600000,10.375062,10.38425975,10.12672275,10.14511825,10.47623725,57716577,642860108,2,0.20537,1,-3.160673,5.790204,0.760971,1.887313,3.11586,0
2019/3/26,sh.600000,10.21870025,10.2462935,10.14511825,10.20030475,10.14511825,30795722,341425280,2,0.109579,1,0.543975,5.821701,0.737055,1.897579,8.100198,0
2019/3/27,sh.600000,10.21870025,10.338271,10.154316,10.191107,10.20030475,42124489,469246326,2,0.149889,1,-0.090173,5.816451,0.736391,1.895868,8.092894,0
2019/3/28,sh.600000,10.14511825,10.16351375,10.0255475,10.14511825,10.191107,29296120,321585861,2,0.104243,1,-0.451265,5.790204,0.733068,1.887313,8.056374,0
2019/3/29,sh.600000,10.0991295,10.3934575,10.0991295,10.375062,10.14511825,60526266,678436536,2,0.215367,1,2.266546,5.921441,0.749683,1.93009,8.238975,0
2019/4/1,sh.600000,10.448644,10.595808,10.38425975,10.522226,10.375062,70637405,808657530,2,0.251345,1,1.418438,6.005433,0.760317,1.957467,8.35584,0
2019/4/2,sh.600000,10.5774125,10.595808,10.49463275,10.522226,10.522226,46714710,534896816,2,0.166222,1,0,6.005433,0.760317,1.957467,8.35584,0
2019/4/3,sh.600000,10.45784175,10.6142035,10.4302485,10.5774125,10.522226,50271029,575799446,2,0.178876,1,0.524479,6.03693,0.764304,1.967733,8.399665,0
2019/4/4,sh.600000,10.62340125,10.77056525,10.6142035,10.77056525,10.5774125,75232527,876099547,2,0.267696,1,1.826087,6.14717,0.778261,2.003666,8.55305,0
2019/4/8,sh.600000,10.84414725,11.000509,10.71537875,10.779763,10.77056525,77870373,920513531,2,0.277082,1,0.085399,6.152419,0.778926,2.005377,8.560354,0
2019/4/9,sh.600000,10.779763,10.80735625,10.56821475,10.6142035,10.779763,56895992,660406225,2,0.20245,1,-1.535839,6.057928,0.766963,1.974578,8.428881,0
2019/4/10,sh.600000,10.5774125,10.632599,10.5038305,10.559017,10.6142035,41027539,470666649,2,0.145986,1,-0.519934,6.026431,0.762975,1.964311,8.385057,0
2019/4/11,sh.600000,10.54981925,10.66019225,10.43944625,10.54981925,10.559017,50172794,575765348,2,0.178527,1,-0.087102,6.021182,0.762311,1.9626,8.377753,0
2019/4/12,sh.600000,10.54981925,10.632599,10.51302825,10.56821475,10.54981925,26273690,301752036,2,0.093488,1,0.174364,6.031681,0.76364,1.966022,8.392361,0
2019/4/15,sh.600000,10.73377425,10.82575175,10.5406215,10.54981925,10.56821475,70509167,823853432,2,0.250889,1,-0.17406,6.021182,0.762311,1.9626,8.377753,0
2019/4/16,sh.600000,10.5406215,11.02810225,10.51302825,10.99131125,10.54981925,100665400,1188260123,2,0.358192,1,4.184826,6.273158,0.794212,2.044732,8.728347,0
2019/4/17,sh.600000,11.000509,11.12007975,10.926927,10.95452025,10.99131125,68157211,816127043,2,0.24252,1,-0.334728,6.25216,0.791554,2.037887,8.699131,0
2019/4/18,sh.600000,10.95452025,11.08328875,10.890136,10.95452025,10.95452025,43048980,513835270,2,0.153179,1,0,6.25216,0.791554,2.037887,8.699131,0
2019/4/19,sh.600000,11.04649775,11.221255,10.9085315,11.04649775,10.95452025,56013041,672739660,2,0.199308,1,0.839634,6.304655,0.7982,2.054998,8.772172,0
2019/4/22,sh.600000,11.0556955,11.10168425,10.742972,10.77056525,11.04649775,53389418,631192357,2,0.189972,1,-2.49792,6.14717,0.778261,2.003666,8.55305,0
2019/4/23,sh.600000,10.742972,10.853345,10.69698325,10.7613675,10.77056525,33847719,396659664,2,0.120438,1,-0.085399,6.14192,0.777597,2.001955,8.545746,0
2019/4/24,sh.600000,10.816554,10.82575175,10.58661025,10.6877855,10.7613675,38201108,444929313,2,0.135929,1,-0.68376,6.099924,0.77228,1.988266,8.487313,0
2019/4/25,sh.600000,10.632599,10.75216975,10.559017,10.6142035,10.6877855,40876129,473973527,2,0.145447,1,-0.688468,6.057928,0.766963,1.974578,8.428881,0
2019/4/26,sh.600000,10.51302825,10.632599,10.375062,10.411853,10.6142035,42469581,485267261,2,0.151117,1,-1.906415,5.942439,0.752341,1.936934,8.268192,0
2019/4/29,sh.600000,10.43944625,10.6142035,10.4302485,10.559017,10.411853,38586938,442046727,2,0.137302,1,1.413426,6.026431,0.762975,1.964311,8.385057,0
2019/4/30,sh.600000,10.7613675,11.12007975,10.7613675,11.00970675,10.559017,123474738,1466714710,2,0.439353,1,4.268299,6.050568,0.765994,1.928398,-13.893171,0
2019/5/6,sh.600000,10.80735625,10.9085315,10.6142035,10.853345,11.00970675,124545414,1460217054,2,0.443163,1,-1.420218,5.964637,0.755115,1.90101,-13.695858,0
